,Sentiment,Comment
36,5,Beyond Skyrim you guys are absolute legends!! This is the highest quality trailer I have ever seen!
37,3,For the first time I feel like paying for something even though it's free.
38,5,Thank you for all the hard work the Beyond Skyrim team has been putting into this herculean task! I am so excited for this and all of Beyond Skyrim!
39,5,"That's amazing, my expectations where already really high but now i don't even have words, and it's free, FREE! Thank you beyond skyrim team and all other projects that made skyrim live all these years, and probably even more years from now"
40,5,"I'm super excited for Skyblivion, but for Beyond Skyrim even more. Seing all this new content and story will be mindblowing. Bruma alone was the best thing that ever happened to skyrim"
41,5,YES!! I can’t wait for the release! This is gonna be way beyond exciting!!
42,5,It was a Dragonborn that forged this empire; it must be a Dragonborn who reforges it.
43,5,Jaw droppingly AMAZING  I would pay for this to be an actual expansion on skyrim or even it's own title! Too bad this will only be for PC players. Still fantastic job you guys!
44,2,That was beyond beautiful. Keep up the good work guys! I cannot wait for the full release. I'm actually far more excited about it than I am for TES6. I kinda hoped for some sort of release date though but it's okay as it's fully understandable that projects such as this canont really have a set in stone release date
45,5,This looks so good Bethesda might have to think about making this canon before Elder Scrolls 6.
46,5,This is the most impressive project in the history of modding. You are all incredible!! Thank you for your work.
47,5,"I have goosebumps in every second looking of it, it so beautiful and tragic that i almost wanted myself to join directly taking out cyrodiil back to it's feet. Well done beyond skyrim team to bring another masterpiece of work"
48,5,"Dang this had me smiling the whole way through and gave me chills, it's looking and sounding fantastic!"
49,5,"You guys will never know how much I appreciate the time, effort and resources you're putting in this project with zero profit incentive. I love Beyond Skyrim: Bruma and cannot wait for what you do next!"
50,5,"Legendary, you guys are true heroes. This looks amazing"
51,1,I'm about to fail no nut November
52,5,It's been over a week and I still watch this trailer multiple times every day.
53,2,"I've been waiting eagerly to return to Cyrodil after hearing about the Beyond Skyrim project, and honestly, I've been more hyped about this and several modding projects more than most Bethesda announcements to date. I eagerly await to see the final product."
54,5,This was awesome! You guys did such a great job. I hope we can play it in the near future :)
55,5,The part of sheer perfection in all of this is how we all feel as players in the game and sharing the same enemy. Even if Bethesda released a final DLC for Skyrim for Hammerfell (because of the reunification of the empire and the dragon Nahfahlaar) it would’ve made for perfect storyline! But using the Great War as a main add on or if maybe the main sequence for Cyrodill is a smart use of the lore and watching this trailer gives me the excitement of playing Skyrim for the first time! This project is top tier!
56,5,so happy i was able to make it on time so happy this project is still strong cant wait to see what more you have awaiting us keep up the work hope to see this sometime before 2023
57,4,lol I think from some of these comments people think this is a release trailer but I don't see any indication of that. Happy to see what they've been working on!
58,5,This. This is exactly what I've always wanted! You guys have done such a wonderful job!!!
59,5,Beyond Skyrim is at once the hero we need and deserve.
60,5,"It is always mind blowing, watching and listening to these videos. We, as ES fans, owe all of you a huge debt of gratitude. I'm beyond excited for all the provinces and look forward to many hours of spectacular gameplay thanks to all of you 🙏🗡 🛡"
61,5,"Just amazing. Thanks so much to all of you for what you’re doing, it looks marvellous."
62,5,"This is so Beautifull its clearly got so much heart poured into it, the writing is immaculant as far as i can tell from this trailer, it made me bolth hyped and tear up as well this project is such a wonder,  its clearly going to be Better in so many ways than the base game"
63,5,I just have to say thank you for all the work you guys are doing on this project. This trailer was incredibly well made and that final line at the end gives me chills every time I hear it. I am so excited for when this project releases!
64,5,"I'm in total awe, everything you all do is breathtakingly beautiful. Happy 10th year anniversary to Skyrim too, this is quite an amazing moment to celebrate every mod too!"
65,5,This absolutely incredible! This is its own game.
66,3,"I love the mod thus far, but I really do wanna see/travel further south. I hope that this is a sign that such is coming soon.Also, it would make certain faction side quests easier since right now, areas marked by certain faction side quests are inaccessible.I'm also curious about the other projects going on, how those are coming along."
67,5,"Seeing some of the best elder scrolls youtubers, in these comments is amazing. This mod is more like an entire new game from what I can tell. This is gonna be amazing to explore. So glad it is getting the recognition it deserves. This team is doing some absolutely amazing work. Won't need elder scrolls 6 when these mods are implemented into the game."
68,5,This is so beautiful I got goosebumps and a few tears truly a masterpiece
69,5,"This is amazing! I know this work you guys are doing is so hard and its a slow process, but can we expect to see this mod soon?? And if not, will there be any new beyond skyrim content on the next year?? Take the time you need, we all thank you  your  dedication... You are the best."
70,5,"Wow, this was truly epic and breath taking. I can truly say I'm more hyped for this than any upcoming game!"
71,5,This is even more exciting than when I went Stork startling!
72,5,"Love the brilliance and continuety of making the trailer in the emperors quaters just before his assassination. His confession, regret and hope for the future. Excellent writing, can’t wait for beyond Skyrim Cyrodiil"
73,5,"This got me teary with hype, you guys do such amazing work! Thank you"
74,5,"Wow the cities look incredible, I can’t wait to explore when it releases!"
75,5,"I havent had chills from a trailer for a game in so long! And the fact that its for a mod is just amazing, Keep up the amazing work you guys are doing!!!"
76,5,"That was so epic! Loved Bruma, cant wait for the full thing"
77,5,Omg the excitement!!! Can’t wait to see where this all goes ☺️
78,5,"this looks absolutely stunning, cant wait to invest another 10 years into a game!"
79,5,"Truly a masterpiece! Everything - music, scenario, voice actors. It is something I’d rather pay for than this vaunted Skyrim: Anniversary Edition."
80,5,"This was way more exciting than the Skyrim Anniversary trailer, you're making such great progress!"
81,4,"After emerging as the famous Imperial Legate that was instrumental to the Imperial victory in the Skyrim Civil War, it’s time for the Dragonborn to pull a Napoleon on the Imperial throne."
82,5,I'm so blown away.. Truly incredible.
83,5,"This is so beautiful, I'm crying rn :')"
84,4,"This looks soo good, I'm beyond excited for this!"
85,1,"Damn, that voice acting is spot on. Props to Daniel Hodge with those voice acting skills"
86,5,"I thank you guys whole heartily, well done! Can't wait to play this! When is this going to be re-leased?"
87,5,"This is a masterpiece, Thank you for shearing this with us I assume this will be playable on VR as well?"
88,5,Beyond Skyrim knocks it out of the park again. Amazing work as always!
89,5,"Looks really good, feels like watching a new game, or a other TES series game, it's something that i can look forward to, awesome work"
90,5,Absolutely amazing work guys. Really looking forward to this
91,5,"wow just wow. well done, awaiting this release."
92,5,Bravo to the creators of this. It got me so excited I wish it was the next game!
93,5,"Wow, I got goosebumps listening to the narration of this. Very well done it looks beautiful. 👏"
94,5,"Love the project, awesome trailer! Can't wait to play it when it's out."
95,5,"By the Nine, this is beautiful. Also, once again, the modders are doing more for TES than Bethesda."
96,5,This got me more hyped than the original skyrim trailer! Astounding work you guys!
97,5,Wow... This is bloody amazing! :) Outstanding work!
98,5,"Wow you really have done a fantastic job of what feels like a genuine continuation of the story of cyrodiil. It feels like only yesterday I was traversing the Colovian highlands towards the rubble of kvatch from chorrol, amazed by the beauty and detail of the landscape and you’ve improved on it 10 fold."
99,1,IM WAY TOO EXCITED FOR THIS. ANYONE ELSE OR JUST ME?
100,5,Absolutely beautiful. Clearly a passion project
101,5,"This is the greatest thing ever, I can't wait for the release!"
102,5,"Wow!! I'm awe struck. I'm a little bit worried about how the return of the Aylieds will play out but otherwise this mod is shaping up to be one of the finest to ever hit the scene. Keep up the great work Beyond Skyrim team, and happy anniversary!!"
103,5,"This is awesome! You all are doing the work Bethesda should have been doing all this time. As a member of the Skyrim community, I thank you."
104,3,"Damn, I had shivers running down my back, it was soooo amazing."
105,5,Damn that was so coollllllllllllllllll I’m just really sad that I know there’s still a long long long long long wait before it could be done but still thanks for the awesome trailer
106,5,"I've been planning my character around this mod where he claims the ruby throne, can't wait to be crowned emperor"
107,5,Looks fantastic you guys! I'm continually astounded by the quality of your work.
108,5,"Excellent work, guys! This turned out amazing."
109,5,I honestly hope that Bethesda wants this amazing content to become canon.
110,5,This is a trailer. And this is how you properly keep the game going for years to come. I can’t wait till more beyond Skyrim mods come.
111,5,Todd Howard: And It’s the one you’ve been waiting for😉3 years laterBeyond Skyrim: Fine…I’ll do It myself.
112,5,Yes awesome! Well done to all those who put work into this it's going to be amazing!
113,5,So well done it almost had me in tears.
114,5,Amazing! The amount of work I cannot begging to grasp for the love of Skyrim! Great accomplishment
115,5,"woohoo!, great production values and you can see these guys put a lot of sweat and tears into the work. - here's hoping it'll be out for 2022"
116,5,Really looking forward to this and all the Beyond Skyrim stories.
117,5,Emperor Tidus Mede II: Back then we fought together. Sheogorath: We did what?
118,5,That is just beautiful! Thank you for your work!
119,5,"Incredible, this is more hype than any AAA I've heard of since the Witcher 3"
120,5,So that’s what ten years feels like! Still a great game to this day
121,4,The music though it's so good and whoever is voicing the Emperor is amazing
122,3,Pretty rare when someone can perfectly mimic Wes Johnson's voice
123,3,That last line is giving me goosebumps
124,5,So cool! Congrats to the team on amazing progress
125,1,Fuck I'm legit in tears.I made a promise to ya Martin; And I intent on following it.
126,5,If you told me this was TES 6 I’d believe and welcome it Fighting Thalmor and alyieds Retaking the land we saved 200 years ago I love it honestly thank you so much for this
127,5,"What amazing trailer and feat of work you guys a doin. I can just imagine the fanfic about the dragonborn, the new dragonblood, coming back to Cyrodiil."
128,5,"This looks absolutely incredible. Your narrator, Daniel Hodge has an awesome voice. It almost reminds me of the voiceover in the Skyrim reveal trailer."
129,5,That was an amazing trailer. Someone should hire you guys
130,5,"All the praise, all the love. Long live the Empire!"
131,5,Bethesda doesnt have the interest or care to do this. It's absolutely astounding the work fans can do. I definitely look forward to playing Skyrim on PC so I can play this this looks incredible
132,5,Dude give this VA and writer medals. This gave me goosebumps
133,5,HOLY SHITTTTTTTTT THIS LOOKS AMAZING!! Exponentially more hyped for this than a soulless 'anniversary edition'.Excited to play this when it releases :)
134,5,It looks beautiful. I got chills.
135,3,i didnt realize how far this was comin along. i can't wait to see it finished.
136,1,"As someone who had his first ever Oblivion playthrough not more than a few months ago, I can now understand all the hype behind this. Absolutely crazy project, folks! Please, keep it up!"
137,4,These guys sure are good at making trailers...
138,5,"I love spending time in Skyrim. With all the mods I have it is so immersive that it feels like another world and I don't even use any mod that add needs like hunger. I also never got married, adopted a child and 2 unimportant NPCs in Whiterun have purple heads (fucked up in SSEEdit and never bothered to try fixing it). I wish I could just buy a house in Cyrodil and live there. I don't like the cold of Skyrim :)"
139,2,Should make me feel better about my mods breaking. Also people in the comments should calm down. This isn't a release trailer the way many people in the comments seem to think it is. It's just them showing off what they have been working on. BS Cyrodiil probably wont be released for another 3 to 4 years.
140,5,This makes me so hyped for the release!
141,2,I am really excited for this and I wish the team nothing but the best!
142,2,I would really love to see Bethesda make this canon. Feels way too good and ambitious not to be.
143,5,"To say we have the utmost respect about your work, is the least amount of gratitude we can show."
144,5,"Wow, I picked the right time to check back up on the project again. Amazing trailer, can't wait to see more!"
145,1,"Damn, 10 years ago I never would've expect this to happen!!!"
146,5,Looks absolutely outstanding. Fantastic job by everyone involved.
147,5,"THE HYPE IS REAL!!!! Jesus, this gave me the shivers!!! Cheers for you all making this masterpiece and my best wishes for health and perseverance in this difficult times!!"
148,5,"I never thought of it, but this thing is great ! We always saw the return of Alduin form only Skyrim's perspective, cuz normally, draugrs are supposed to be dead.It's logical that ALL the encrypted deads of the world come back with Alduin, so it's logical to see the undead Aylieds return as well !Good one :)"
149,5,I have followed your project for years and I just want to say keep up the great work👍
150,5,Well done! This was more emotional than any trailer I've seen from Bethesda.  Cannot wait.
151,2,"Waiting, the insuffarable waiting..."
152,5,"It's because of teams like beyond skyrim, and the great community of modders that skyrim is still going strong after all these years. Great job guys. I'm waiting for more updates to beyond skyrim."
153,5,"It's Beautiful... i legit have goosebumps when He say the words ""I have Failed."""
154,5,"Yo! This gave me chills, so cool!Just watched a 2nd time and Its still giving me chills! The music is on point."
155,5,I get chills every time I re-watch this.
156,1,Just been playing Oblivion and watching this gave me goosebumps. Take my pre-order money...
157,1,Bethesda been real quiet since this dropped
158,5,Brilliant. Loved every second. You guys are the best.
159,5,So cool!Feels like an anime prologue🤣Especially with that soundtrack. Some Attack on titan vibes
160,5,Love some more beyond skyrim content. If I can get the anniversary edition to ever work right again!!!
161,5,“This seat of sundered kings”Best. Line. Ever
162,4,"Wow! This video was better than some trailers I've seen for triple A games made by big studios. I'm really looking forward to returning to Cyrodiil but in modern times & seeing sights both familar & new. It'd be interesting to see what the Beyond Skyrim team have changed & whether Bethesda will deem to make it cannon eventually (either way it's bound to be awesome). I also think the story has some real potential, we don't know much yet (or at least I don't) but I like the idea of taking the fight to both the Thalmor & returning Ayleids.  I also have to say that this trailer really made me feel sorry for Titus Mede II & for what a lot of players (including me) have done to him in the past, whether he accepted it or not. He didn't have an easy decision to make to try to end the Great War but did his best under the circumstances. I don't agree with the banning of Talos however I normally side with the Empire during Skyrim playthroughs as I believe as Titus did, that we need to be united against the Thalmor for they are the true enemy of Nirn."
163,5,Thank you so much for creating this amazing mod. Like and Sub!!
164,4,Can't wait for it to finally be released... I just hope it will work without the problems we currently face with the latest update and the AE
165,4,I just Wonder what Bethesda has to say about this fine work
166,5,well done to all the team! <3
167,5,thats great . I love Beyond Skyrim <3   you guys making a very good job
168,5,I’m so exited for this!! This is the closest we’ll get to tes6 for a long while
169,5,"Fucking yes, I love fighting the Thalmor. Skyrim has turned fighting the Thalmor into my favorite hobby."
170,5,"Omg. You guys are the best! Can't wait for the release, I hope it may happen in 2022 :)"
171,3,"This almost certainly isn’t a release trailer but by some freak miracle it is, that would be great"
172,4,Can't wait to see some reaction videos on this epic trailer. BUT I CAN'T WAIT TO PLAY THIS!
173,1,i wish i could send this video back in time to myself a few months after skyrim's initial release
174,5,Looks beautiful fellas. All I can say is keep up the good work.
175,5,"what you people are doing, is just incredible, thank you so much"
176,5,"Dude, this is so awesome..!!Bethesda needs to take a seat and see how it's done .  They've been doing is profiting from the same game over and over again while better developers are creating amazing work"
177,4,I’m still waiting very patiently for a release window for this project or any project of that matter. Surly roscrea is nearly done.
178,5,This looks freaking awesome.
179,5,Fuck Anniversary edition I love Legacy of the Dragonborn and beyond Skyrim. Now this is looks dope AF.
180,4,"I've been following this mod since 2013. I remember being so excited for it thinking it'll be out within a year or 2 tops. Boy oh boy. I don't play Skyrim anymore, and I probably won't go back to it. But I still respect the fact you guys are still working on it. The videos are cool to look at. But I don't see this as something anyone will play anytime soon. I see this as just youtube content from a bunch of hardcore fans. And I respect that."
181,5,"Why did you put this trailer, man!? Now I want MORE!!I can't wait to play this mod. It looks astonishing!!Great job by all of the team!"
182,5,"I am so happy to be born in a time where this project exists. When the entire project comes out, no one will ever see me again."
183,5,"This looks incredible, wow. Lets go, cannot wait to play this."
184,5,"Finally, a game actually worthy of paying full price"
185,5,Hype.This is like the big thing for me now not Elder ring or whatever... You guys are monsters letting us with the intrigue. By Azura By Azura by Azura... It is Beyond Skyrim Cyrodil.
186,1,THIS LOOKS SO OFFICIAL I CANT BELIEVE ITS „JUST“ A MOD 😩😩😩😩💕
187,5,I do wish I could get the anniversary edition of Skyrim but this looks awesome !!!!!!
188,4,"It's evidently clear you guys love your craft speaking as a writer of fantasy and science fiction, I have much respect for those who love their craft and do it well. You have intrigued me as to what is in here."
189,5,"""The people will have to protect themselves they must find something, anything, to hold onto, and then give their lives in service to it.""  Sounds like the perfect time for 'ol Dovahkiin and his loyal cohort of dovah to grace Cyrodiil with his presence.  I could see it now...the warlords of Cyrodiil marching their armies to the Imperial city and the dragonborn pulling a Game of Thrones-esque dragon ambush out of nowhere."
190,5,I wish I could like this AGAIN after watching the rest of it! Thank you for sharing! I am ready!
191,3,Waaaaay better news than AE
192,4,This really feels like a proper sequel for Skyrim's story
193,5,This looks phenomenal!
194,5,"Amazing, only thing that could made it better would been a release date :)"
195,5,"If Bethesda had a team like you guys, we would never need mods anymore. So complete, wonderful, and super creative. Congratulations, the project Beyond Skyrim is really powerful! <3"
196,1,I'm so excited for this project! Planning to donate to it come payday!
197,5,"Oh boy, can't wait to play this game in 2048!"
198,5,Wow they made the Anvil dams canon! That was one of my favourite areas from unique landscapes
199,5,"OH BOI, OH BOI. I'm hyped! ❤️"
200,4,"Looks amazing, I can't wait for it to be released. Aw man, now I really want to play Skyrim again, but the update broke SKSE T_T my mods, my precious precious mods. Maybe ill go install MW again and check out Tamriel Rebuilt.2:43 really shows off how nice Skyrim looks running on a Smart Fridge. you can almost count the pixels in that ground texture and get paper cuts from the edges on those lighting effects. lol, no hate, it just was funny how out of place it looked."
201,5,"Freaking awesome, can't wait to revisit cyrodiil"
202,1,Damn! I'd say this is probably a higher quality trailer than what most Fantasy GAMES released. Kudos and keep the work going
203,5,By the nines this looks incredible! Now I know how that Argonian maid felt 😍
204,5,For the glory of the Empire. Long live the Emperor. Long live the Empire.
205,4,Been waiting to see how Kvatch fared after the oblivion crisis.
206,5,Got up from my seat and gave this a standing ovation.
207,5,hopefully the anniversary addition wont break this awesome mod. i need to play this!
208,1,This is like a breath of fresh air especially after the last big mod project I was excited for was an utter disappointment cough frontier cough
209,5,Fucking lit. You guys did so good. The exterior spaces look amazing.
210,4,Seeing the cities expanded to so cool! I think they probably would have expanded since Oblivion
211,3,I will probably die before any more beyond skyrim content comes out
212,1,Sold!!Oh... wait. Its free!You guys are doing Talos's work! Massive respect to the team and contributors. I look forward to playing it.
213,4,"A-mazing. Since bruma I have been wondering how cyrodil will be and from this trailer, it's going to be a blast for the ages."
214,5,Such a BIG and COOL and CREATIVE and PASSIONED project. Can’t wait to play it in a couple of years - when I have time and a strong enough pc to play it then.
215,5,Beyond amazement to see how far this has come. If only I had a PC…
216,5,"God it's gorgeous, I already explored BS: Cyrodill in an earlier leaked build but this is even better!"
217,5,HYPE!
218,1,Played Beyond Skyrim: Bruma in 2017. Look forward to play all of Cyrodiil in this. Looks sick!
219,1,I am so excited
220,4,"Great trailer. The voice actor is pretty damn good too.Although, I'm rather annoyed at the wait time, to a degree, that all my hype died long ago."
221,1,"I swear to go god if there is no mention of the Beyond Skyrim Team in TES6 I’ll riot.You guys are legitimately producing studio-grade content that Bethesda should be making. If you really manage to get Cyrodiil out before TES6, there needs to be some Easter egg there of a secret faction striving to unite Tamriel."
222,2,I cant wait for the cathartic experience of walking around old oblivion gates and the imperial city.
223,5,I feel sorry for the Emperor he is such a nice dude
224,1,If I can side with the Thalmor. You’ll have officially beat Bethesda at their own game… literally
225,1,I am fully willing to pay 60 bucks for this even though they're not charging anything
226,5,I absolutely LOVE the remnants of the oblivion gates.
227,5,Amazing trailer! How am I transported to 2006 & yet it's 2021. Warp in the West nostalgia levels
228,1,I am infinitely more excited for this alone than I am for even an ES6
229,5,I can't wait! I hope it works with anniversary edition
230,5,"This and hundreds of other examples is why a heavily moddable game will always keep a healthy community around it to create amazing things, but Bethesda is lucky enough to have some of the most impressive and skilled people working on their games.Truly amazing, keep up the great work guys! Wish you nothing but the best in this and future projects!"
231,5,Watching this for the thirty time now
232,5,I can't believe that 🥺💜 this is piece of art
233,5,"Finally, someone who make sense enough to bring the fight against the Thalmor"
234,5,This is so fucking epic!!! Never been more excited about any video game release.
235,5,This is incredibly amazing!!!!!!
236,5,Daniel Hodge’s portrayal of Emperor Mede is perfect
237,1,Wonder if we will get a sneak peak at any of their super followers
238,3,"I am suffering with crippling depression...but this, does put a smile in my face."
239,1,"First Project Mojave, now this??? Real???"
240,5,"Been waiting for this since Bruma. The flames of hope still burn - let me go back, my Cyrodiil needs me!"
241,5,Breath taking OST man great job to the devs
242,4,"Hope this narrative will work together well with TES6, either way it looks extremely high quality and I can't wait to see it"
243,5,"This is so cool. And yet, I cannot hide a feeling that Bethesda (or whatever) will one day take all of this hard work and sell it under their own name - like Skyrim Century Edition or something. Wish all the best to You, guys! =)"
244,5,I was waiting for this more than the anniversary edition
245,3,"By Azura, could it be true?"
246,3,Seeing the emperor get some more story should be cool.
247,3,Beyond Skyrim is more honest then Bethesda could’ve ever possibly be these days
248,5,This is one of the best game trailers ever
249,5,"Cyrodiil in Creation Engine is a dream that you don't wanna wake up from, and a heroic life you have to fight for."
250,5,This mod is much cooler than the official anniversary edition. SUPPORT!!!!
251,1,Can I have this instead of anniversary edition please?
252,5,wow yall really hit the vibe i got nostalgia chills
253,5,I am fucking excited to finally see the mod. You guys are awesome
254,5,"This is a very good trailer, top tier quality"
255,4,"Man I am SO HYPEDHearing Titus Mede narrate this trailer is epic, he does a better job than Uriel. I can really feel this trailer, feels like a movieIt does make me wonder, however......how does this affect the brotherhood questline ..... and vice versa"
256,1,This trailer got me into tears.
257,3,im hoping there is an option for the dragonborn to take the throne instead of chooseing a count.
258,5,"Beyond Skyrim and TES Renewal teams are killing me with so much anticipation, I CANT WAIT!!!! 🤩🤩🤩"
259,3,"Okay, with this there is, quite understandably, hype, and hope that it'll be releasing soonso looking on the Beyond Skyrim website...linked everywhere, and under Cyrodiil, there is no commitment to a release windowhowever it also states world building is nearly complete, however voice acting, implementation and testing will take some timewith all this information, I'd say the absolute EARLIEST we can get is end of 2022, start of 2023however a much more reasonably time fram would be end of 2023, start of 2024, assuming there's no engine breaking bugs of course"
260,3,I would LOVE to help in any capacity but i don’t know if i have a decent enough rig. To the team; keep up the good work.
261,2,I got chills like when I was listening to Ulfric's speech
262,5,Looks amazing!
263,3,"By the looks of it, it shouldn't be too much longer (relatively speaking). Hyped as hell."
264,5,this trailer just bkew me away. Really good job on everyone working in that humungus projekt. Screw Anniversary Edition I want THIS
265,3,But does it support fishing?
266,5,"Beyond Hype!Take the time you need guys n' girls, if Bruma was any indication, what we've seen so far of the heartland will be worth any wait :D"
267,5,This is my elder scrolls 6! Cannot wait for this to release!
268,3,Good voice acting. Really excited for this.
269,5,"that was an epic trailer, holy hell!"
270,5,"HOLY MOTHER OF TALOS!!!!!The last time I was this hyped, Emperor Uriel Septim the 7th was still alive & a Dragon saved my ass from the headsmen! :D"
271,5,"I am crying tears of joy, as a parent would cry when he sees his child graduate university or getting marriedThe Beyond Skyrim team is nothing short of Legendary"
272,2,"Honestly, the quality and professionalism of the Cyrodiil project is so high, Bethesda should make it canon and hire/buy the project when it's complete and allow its sale. Kinda like what Valve does."
273,5,Now this is the Skyrim I'm looking for!
274,5,Ik this is a small detail. But that amulet of kings logo is genuinely cool as hell. Like 100/10 design. I love it.
275,5,Cant wait! Youre doing gods work
276,5,incredible how trailers made by loyal fans actually get me more excited than whatever garbage corporations can spew up
277,1,The Beyond skyrim team makes bethesda look like shit lmao
278,5,"Bruma, Chorrol, Cheydinhal, Leyawin, Skingrad, Bravil, Kvatch, and the Imperial City. BRING THEM AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAALL BACK!! I'm having goosebumps for this project of Beyond Skyrim: Cyradiil!!Nothing but RESPECT for you guys in the Beyond Skyrim group. UssThere is a mod for High King of Skyrim, then got down to Cyradiil and start paying the Thalmor a serious visit."
279,1,Lol this is cant be real o_o
280,1,I’m literally shaking and crying someone get these elves out of the Heartland.
281,3,It sounds to me as if it's high time to have a Dragonborn back on the Ruby throne.
282,5,"1:52""I for one, welcome our new Thalmor Overlords"""
283,3,This needs more hype than the Skyrim Anniversary Edition. This has more potential.
